,id,type,gender,sexo,pessoa,idade
0,8063.0,F,F,1,0,45
2,8061.0,F,M,2,0,63
4,8058.0,J,E,0,1,19
5,8059.0,F,M,2,0,15
7,8056.0,F,M,2,0,30
9,8055.0,F,F,1,0,40
10,8053.0,F,F,1,0,42
12,8051.0,F,M,2,0,15
14,8048.0,F,M,2,0,69
15,8049.0,F,M,2,0,31
16,8047.0,F,F,1,0,40
19,8045.0,F,M,2,0,39
20,8043.0,F,M,2,0,47
21,8042.0,F,M,2,0,53
23,8039.0,F,F,1,0,15
24,8040.0,F,F,1,0,57
25,8038.0,F,M,2,0,15
26,8037.0,F,M,2,0,15
27,8034.0,F,M,2,0,22
28,8035.0,F,F,1,0,35
30,8033.0,F,F,1,0,23
32,8032.0,F,M,2,0,21
35,8029.0,F,M,2,0,55
38,8026.0,F,F,1,0,30
39,8024.0,F,F,1,0,15
40,8023.0,F,F,1,0,50
41,8022.0,F,M,2,0,56
42,8020.0,F,M,2,0,50
43,8021.0,F,F,1,0,32
44,8019.0,F,M,2,0,26
45,8016.0,F,M,2,0,37
48,8015.0,F,F,1,0,41
50,8013.0,F,M,2,0,30
51,8012.0,F,M,2,0,41
53,8011.0,F,F,1,0,38
54,8007.0,F,F,1,0,26
55,8008.0,F,F,1,0,27
57,8006.0,F,F,1,0,75
58,8004.0,F,M,2,0,19
60,8003.0,F,F,1,0,52
61,8002.0,F,M,2,0,67
62,7999.0,F,F,1,0,41
64,8000.0,F,M,2,0,23
66,7996.0,F,F,1,0,37
67,7997.0,F,M,2,0,66
68,7995.0,F,F,1,0,36
69,7994.0,F,F,1,0,44
71,7993.0,F,F,1,0,48
72,7991.0,F,F,1,0,44
73,7990.0,F,F,1,0,65
75,7989.0,F,F,1,0,41
76,7987.0,F,M,2,0,34
77,7985.0,F,M,2,0,41
79,7984.0,F,F,1,0,37
80,7983.0,F,M,2,0,38
81,7981.0,F,F,1,0,53
82,7982.0,F,F,1,0,33
83,7979.0,F,M,2,0,63
84,7980.0,F,M,2,0,50
85,7977.0,F,M,2,0,36
87,7976.0,F,F,1,0,43
88,7974.0,F,F,1,0,46
89,7975.0,F,F,1,0,30
90,7973.0,F,M,2,0,22
92,7912.0,F,M,2,0,40
94,7914.0,F,M,2,0,56
95,7915.0,F,F,1,0,30
97,7917.0,F,M,2,0,22
98,7918.0,F,M,2,0,46
100,7920.0,F,F,1,0,44
101,7921.0,F,F,1,0,52
102,7922.0,F,F,1,0,47
103,7923.0,F,F,1,0,43
105,7925.0,F,M,2,0,25
106,7926.0,F,M,2,0,45
107,7927.0,F,M,2,0,19
110,7930.0,F,M,2,0,40
112,7932.0,F,F,1,0,50
113,7933.0,F,F,1,0,54
114,7934.0,F,M,2,0,57
115,7935.0,F,F,1,0,45
116,7936.0,F,F,1,0,47
117,7937.0,F,M,2,0,61
118,7938.0,F,F,1,0,46
119,7939.0,F,M,2,0,49
120,7940.0,F,F,1,0,42
121,7941.0,F,M,2,0,39
122,7942.0,F,M,2,0,25
123,7943.0,F,F,1,0,48
124,7944.0,F,M,2,0,51
127,7947.0,F,F,1,0,41
128,8779.0,F,F,1,0,45
131,8777.0,F,M,2,0,70
133,8773.0,F,F,1,0,38
134,8774.0,F,F,1,0,28
135,8772.0,F,F,1,0,72
137,8770.0,F,F,1,0,42
138,8769.0,F,F,1,0,45
139,8768.0,F,F,1,0,47
140,8766.0,F,M,2,0,51
141,8767.0,F,M,2,0,43
142,8764.0,F,M,2,0,61
143,8765.0,F,M,2,0,49
144,8763.0,F,M,2,0,56
145,8762.0,F,M,2,0,25
146,8761.0,F,M,2,0,25
147,8760.0,F,M,2,0,42
149,8758.0,F,F,1,0,41
150,8757.0,F,M,2,0,33
152,8756.0,F,F,1,0,54
153,8754.0,F,F,1,0,45
155,8751.0,F,F,1,0,60
156,8752.0,F,F,1,0,35
157,8750.0,F,F,1,0,48
158,8748.0,F,M,2,0,15
159,8749.0,F,M,2,0,69
160,8747.0,F,F,1,0,49
164,8743.0,F,M,2,0,15
165,8741.0,F,F,1,0,50
166,8742.0,F,F,1,0,41
167,8738.0,F,F,1,0,40
168,8739.0,F,M,2,0,43
170,8737.0,F,F,1,0,60
171,8736.0,F,F,1,0,15
172,8735.0,F,M,2,0,31
174,8733.0,F,M,2,0,56
175,8732.0,F,F,1,0,37
176,8731.0,F,M,2,0,18
177,8729.0,F,F,1,0,68
179,8728.0,F,M,2,0,72
180,8064.0,F,M,2,0,38
182,7971.0,F,M,2,0,49
183,7970.0,F,F,1,0,62
185,7968.0,F,F,1,0,68
186,7967.0,F,M,2,0,29
187,7966.0,F,F,1,0,65
188,7965.0,F,F,1,0,37
189,7948.0,F,F,1,0,75
190,7949.0,F,F,1,0,41
192,7951.0,F,F,1,0,35
193,7952.0,F,F,1,0,15
195,7954.0,F,M,2,0,47
196,7955.0,F,F,1,0,50
197,7956.0,F,F,1,0,38
198,7957.0,F,M,2,0,51
201,7960.0,F,F,1,0,15
202,7961.0,F,F,1,0,30
203,7962.0,F,M,2,0,49
204,7963.0,F,M,2,0,36
205,7964.0,F,M,2,0,41
206,8814.0,F,F,1,0,15
207,8815.0,F,M,2,0,75
208,8813.0,F,F,1,0,15
209,8812.0,F,M,2,0,31
211,8810.0,F,M,2,0,24
215,8806.0,F,F,1,0,15
216,8804.0,F,F,1,0,61
218,8803.0,F,F,1,0,40
219,8802.0,F,F,1,0,15
220,8801.0,F,M,2,0,34
222,8799.0,F,F,1,0,36
224,8797.0,F,M,2,0,64
225,8796.0,F,F,1,0,37
226,8794.0,F,M,2,0,15
227,8795.0,F,F,1,0,53
229,8792.0,F,M,2,0,37
232,8789.0,F,M,2,0,19
233,8787.0,F,M,2,0,55
234,8788.0,F,M,2,0,40
236,8786.0,F,M,2,0,30
237,8784.0,F,F,1,0,33
239,8783.0,F,F,1,0,65
240,8781.0,F,F,1,0,27
241,8780.0,F,M,2,0,33
242,8726.0,F,F,1,0,44
243,8727.0,F,F,1,0,75
246,8723.0,F,F,1,0,72
247,8722.0,F,M,2,0,33
248,8720.0,F,F,1,0,33
249,8721.0,F,F,1,0,67
250,8718.0,F,M,2,0,27
251,8719.0,F,M,2,0,66
253,8716.0,F,M,2,0,24
254,8715.0,F,M,2,0,38
255,8714.0,F,M,2,0,29
257,8712.0,F,F,1,0,40
258,8711.0,F,M,2,0,54
259,8709.0,F,M,2,0,56
261,8707.0,F,M,2,0,49
262,8708.0,F,F,1,0,60
263,8706.0,F,F,1,0,69
264,8705.0,F,M,2,0,28
265,8704.0,F,M,2,0,35
266,8703.0,F,M,2,0,73
268,8066.0,F,F,1,0,41
269,8067.0,F,F,1,0,52
270,8068.0,F,M,2,0,27
271,8069.0,F,M,2,0,44
272,8070.0,F,F,1,0,40
273,8071.0,F,M,2,0,70
274,8072.0,F,F,1,0,49
276,8074.0,F,F,1,0,20
277,8075.0,F,F,1,0,55
278,8076.0,F,F,1,0,26
280,8078.0,F,F,1,0,34
281,8079.0,F,M,2,0,15
282,8080.0,F,M,2,0,15
283,8081.0,F,M,2,0,35
285,8083.0,F,M,2,0,55
288,8086.0,F,M,2,0,15
290,8088.0,F,M,2,0,75
293,8091.0,F,M,2,0,15
294,8092.0,F,M,2,0,45
295,8093.0,F,F,1,0,38
296,8094.0,F,F,1,0,40
297,8095.0,F,M,2,0,58
298,8096.0,F,F,1,0,33
299,8097.0,F,F,1,0,58
300,8098.0,F,F,1,0,63
301,8099.0,F,M,2,0,46
302,8100.0,F,F,1,0,37
303,8101.0,F,F,1,0,40
305,8103.0,J,E,0,1,21
306,8104.0,F,F,1,0,26
308,8106.0,F,F,1,0,43
309,8107.0,F,M,2,0,25
310,8108.0,F,M,2,0,36
311,8109.0,F,F,1,0,40
313,8111.0,F,M,2,0,34
314,8112.0,F,M,2,0,51
315,8113.0,F,M,2,0,35
316,8114.0,F,M,2,0,41
317,8115.0,F,F,1,0,55
318,8116.0,F,M,2,0,60
319,8117.0,F,F,1,0,65
321,8119.0,F,M,2,0,39
322,8120.0,F,F,1,0,52
324,8122.0,F,F,1,0,75
326,8124.0,F,M,2,0,48
327,8125.0,F,M,2,0,52
328,8126.0,F,M,2,0,59
330,8128.0,F,F,1,0,54
331,8129.0,F,M,2,0,50
333,8131.0,F,F,1,0,27
335,8133.0,F,F,1,0,56
336,8134.0,F,M,2,0,53
337,8135.0,F,F,1,0,32
338,8136.0,F,F,1,0,39
339,8137.0,J,E,0,1,15
340,8138.0,F,F,1,0,49
341,8139.0,F,F,1,0,35
342,8140.0,F,F,1,0,75
344,8142.0,F,F,1,0,54
345,8143.0,F,M,2,0,44
347,8145.0,F,M,2,0,21
348,8146.0,F,F,1,0,38
349,8147.0,F,F,1,0,49
350,8148.0,F,F,1,0,55
