product_name,Pai - Bazar,Pai - Bebidas Alcoólicas,Pai - Bebidas Não Alcoólicas,Pai - HPC,Pai - Limpeza / Descartáveis,Pai - Mercearia Básica,Pai - Perecíveis,Pai - Têxtil,Pai- Mercearia Complementar,Pai-Hortifruti
Abacaxi em Calda Predilecta Lata 400g,0,0,0,0,0,0,0,0,4,0
Absorvente Interno Mini Intimus Caixa 8 Unidades,0,0,0,0,29,0,0,0,0,0
Absorvente Interno Médio Intimus Caixa 8 Unidades,0,0,0,0,29,0,0,0,0,0
Absorvente Interno Médio Intimus Sport Caixa 8 Unidades,0,0,0,0,2,0,0,0,0,0
Absorvente Interno Super Intimus Caixa 8 Unidades,0,0,0,0,29,0,0,0,0,0
Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote 32 Unidades,0,0,0,0,70,0,0,0,0,0
Absorvente com Abas Extra Suave Intimus Tripla Proteção Pacote 8 Unidades,0,0,0,0,27,0,0,0,0,0
Absorvente com Abas Seca Always Noites Tranquilas Pacote 16 Unidades Leve Mais Pague Menos,0,0,0,0,14,0,0,0,0,0
Absorvente com Abas Seca Always Noites Tranquilas Pacote Leve 8 Pague 7 Unidades,0,0,0,0,13,0,0,0,0,0
Absorvente com Abas Seca Intimus Tripla Proteção Pacote 32 Unidades Leve Mais Pague Menos,0,0,0,0,25,0,0,0,0,0
Absorvente com Abas Seca Intimus Tripla Proteção Pacote 8 Unidades,0,0,0,0,17,0,0,0,0,0
Absorvente com Abas Seca Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,0,0,0,0,44,0,0,0,0,0
Absorvente com Abas Seca Noturno Intimus Pacote 8 Unidades,0,0,0,0,46,0,0,0,0,0
Absorvente com Abas Seca Sempre Livre Adapt Plus Pacote 8 Unidades,0,0,0,0,3,0,0,0,0,0
Absorvente com Abas Seca Super Proteção Always Pacote 16 Unidades  Leve Mais Pague Menos,0,0,0,0,3,0,0,0,0,0
Absorvente com Abas Seca Super Proteção Always Pacote 8 Unidades,0,0,0,0,27,0,0,0,0,0
Absorvente com Abas Suave Always Noites Tranquilas Pacote 16 Unidades Leve Mais Pague Menos,0,0,0,0,2,0,0,0,0,0
Absorvente com Abas Suave Always Noites Tranquilas Pacote 32 Unidades Leve Mais Pague Menos,0,0,0,0,13,0,0,0,0,0
Absorvente com Abas Suave Always Noites Tranquilas Pacote 8 Unidades,0,0,0,0,5,0,0,0,0,0
Absorvente com Abas Suave Always Noites Tranquilas Pacote Leve 8 Pague 7 Unidades,0,0,0,0,1,0,0,0,0,0
Absorvente com Abas Suave Intimus Tripla Proteção Pacote Leve 16 Pague 14 Unidades,0,0,0,0,51,0,0,0,0,0
Absorvente com Abas Suave Noite e Dia Sempre Livre Adapt Plus Pacote 8 Unidades,0,0,0,0,12,0,0,0,0,0
Absorvente com Abas Suave Noturno Intimus Extra Proteção Pacote Leve 32 Pague 28 Unidades,0,0,0,0,10,0,0,0,0,0
Absorvente com Abas Suave Noturno Intimus Pacote 8 Unidades,0,0,0,0,18,0,0,0,0,0
Absorvente com Abas Suave Noturno Intimus Pacote Leve 20 Pague 18 Unidades,0,0,0,0,28,0,0,0,0,0
Absorvente com Abas Suave Noturno Intimus Pacote Leve 36 Pague 30 Unidades,0,0,0,0,37,0,0,0,0,0
Absorvente com Abas Suave Super Proteção Always Pacote 16 Unidades Leve Mais Pague Menos,0,0,0,0,7,0,0,0,0,0
